29301 2
-1.000000e+00 -1.000000e+00 1
-1.000000e+00 0.000000e+00 1
-1.000000e+00 1.000000e+00 1
0.000000e+00 -1.000000e+00 1
0.000000e+00 0.000000e+00 0
0.000000e+00 1.000000e+00 1
1.000000e+00 -1.000000e+00 1
1.000000e+00 0.000000e+00 1
1.000000e+00 1.000000e+00 1
-5.000000e-01 -5.000000e-01 0
-5.000000e-01 5.000000e-01 0
5.000000e-01 5.000000e-01 0
5.000000e-01 -5.000000e-01 0
5.000000e-01 0.000000e+00 0
0.000000e+00 5.000000e-01 0
0.000000e+00 -5.000000e-01 0
-5.000000e-01 0.000000e+00 0
5.000000e-01 1.000000e+00 1
1.000000e+00 5.000000e-01 1
2.500000e-01 2.500000e-01 0
2.500000e-01 5.000000e-01 0
2.500000e-01 7.500000e-01 0
5.000000e-01 2.500000e-01 0
7.500000e-01 2.500000e-01 0
1.250000e-01 3.750000e-01 0
0.000000e+00 2.500000e-01 0
-2.500000e-01 2.500000e-01 0
3.750000e-01 1.250000e-01 0
2.500000e-01 0.000000e+00 0
2.500000e-01 -2.500000e-01 0
-2.500000e-01 -2.500000e-01 0
-5.000000e-01 -1.000000e+00 1
-1.000000e+00 -5.000000e-01 1
-7.500000e-01 2.500000e-01 0
-1.000000e+00 5.000000e-01 1
2.500000e-01 -7.500000e-01 0
5.000000e-01 -1.000000e+00 1
-7.500000e-01 -2.500000e-01 0
-2.500000e-01 -5.000000e-01 0
-2.500000e-01 -7.500000e-01 0
-5.000000e-01 -2.500000e-01 0
-1.250000e-01 -3.750000e-01 0
0.000000e+00 -2.500000e-01 0
-3.750000e-01 -1.250000e-01 0
-2.500000e-01 0.000000e+00 0
5.000000e-01 -2.500000e-01 0
7.500000e-01 -2.500000e-01 0
1.000000e+00 -5.000000e-01 1
2.500000e-01 -5.000000e-01 0
-5.000000e-01 2.500000e-01 0
-2.500000e-01 5.000000e-01 0
-2.500000e-01 7.500000e-01 0
-5.000000e-01 1.000000e+00 1
5.000000e-01 1.250000e-01 0
6.250000e-01 1.250000e-01 0
7.500000e-01 0.000000e+00 0
-1.250000e-01 3.750000e-01 0
1.250000e-01 -3.750000e-01 0
-5.000000e-01 -1.250000e-01 0
-6.250000e-01 -1.250000e-01 0
-7.500000e-01 0.000000e+00 0
1.250000e-01 5.000000e-01 0
1.250000e-01 6.250000e-01 0
0.000000e+00 7.500000e-01 0
-1.250000e-01 -5.000000e-01 0
-1.250000e-01 -6.250000e-01 0
0.000000e+00 -7.500000e-01 0
-3.750000e-01 -3.750000e-01 0
-3.750000e-01 -2.500000e-01 0
-2.500000e-01 -3.750000e-01 0
6.250000e-02 4.375000e-01 0
0.000000e+00 3.750000e-01 0
-6.250000e-02 -4.375000e-01 0
0.000000e+00 -3.750000e-01 0
-4.375000e-01 -6.250000e-02 0
-3.750000e-01 0.000000e+00 0
-3.750000e-01 1.250000e-01 0
3.750000e-01 3.750000e-01 0
4.375000e-01 6.250000e-02 0
3.750000e-01 0.000000e+00 0
3.750000e-01 -1.250000e-01 0
1.250000e-01 -5.000000e-01 0
1.250000e-01 -6.250000e-01 0
-1.250000e-01 5.000000e-01 0
-1.250000e-01 6.250000e-01 0
-3.125000e-01 -3.125000e-01 0
3.750000e-01 2.500000e-01 0
2.500000e-01 3.750000e-01 0
5.000000e-01 3.750000e-01 0
6.250000e-01 3.750000e-01 0
7.500000e-01 5.000000e-01 0
7.500000e-01 7.500000e-01 0
-4.375000e-01 -1.875000e-01 0
3.750000e-01 5.000000e-01 0
3.750000e-01 6.250000e-01 0
5.000000e-01 7.500000e-01 0
5.000000e-01 6.250000e-02 0
5.625000e-01 6.250000e-02 0
6.250000e-01 0.000000e+00 0
6.250000e-01 -1.250000e-01 0
-5.000000e-01 -6.250000e-02 0
-5.625000e-01 -6.250000e-02 0
-6.250000e-01 0.000000e+00 0
-6.250000e-01 1.250000e-01 0
-5.000000e-01 1.250000e-01 0
3.125000e-01 3.125000e-01 0
4.375000e-01 1.875000e-01 0
-4.375000e-01 -3.125000e-01 0
-5.000000e-01 -3.750000e-01 0
-6.250000e-01 -3.750000e-01 0
-7.500000e-01 -5.000000e-01 0
-7.500000e-01 -7.500000e-01 0
6.250000e-02 -4.375000e-01 0
-6.250000e-02 4.375000e-01 0
-4.375000e-01 6.250000e-02 0
5.000000e-01 -1.250000e-01 0
-3.125000e-01 -4.375000e-01 0
-3.750000e-01 -5.000000e-01 0
-3.750000e-01 -6.250000e-01 0
-5.000000e-01 -7.500000e-01 0
4.375000e-01 3.125000e-01 0
4.375000e-01 -6.250000e-02 0
6.250000e-02 -5.000000e-01 0
6.250000e-02 -5.625000e-01 0
0.000000e+00 -6.250000e-01 0
-6.250000e-02 5.000000e-01 0
-6.250000e-02 5.625000e-01 0
0.000000e+00 6.250000e-01 0
3.125000e-01 4.375000e-01 0
1.875000e-01 4.375000e-01 0
-5.000000e-01 -1.875000e-01 0
-5.625000e-01 -1.875000e-01 0
-6.250000e-01 -2.500000e-01 0
-1.875000e-01 -4.375000e-01 0
5.000000e-01 1.875000e-01 0
5.625000e-01 1.875000e-01 0
6.250000e-01 2.500000e-01 0
-4.375000e-01 -2.500000e-01 0
-2.500000e-01 -4.375000e-01 0
2.500000e-01 4.375000e-01 0
4.375000e-01 2.500000e-01 0
-6.250000e-02 -5.000000e-01 0
